"Symbol"
"TP53"
"TNF"
"VEGFA"
"IL6"
"TGFB1"
"IL10"
"ACE"
"MMP9"
"HLA-DRB1"
"CRP"
"IL1B"
"PTGS2"
"TLR4"
"CXCL8"
"HLA-B"
"IFNG"
"TLR2"
"HLA-A"
"ICAM1"
"HMOX1"
"IL4"
"MBL2"
"IL1RN"
"MIF"
"MIR146A"
"IL2"
"TLR9"
"FLT1"
"CCL5"
"CXCL10"
"IL33"
"VCAM1"
"FCGR2A"
"LTA"
"ANGPT2"
"ADAM17"
"IFNB1"
"IL4R"
"ANGPT1"
"IFIH1"
"CASP1"
"CCL3"
"TREM1"
"PF4"
"YWHAE"
"TLR6"
